150	0	0
149.598	0.126	0
148.395	0.4995	0
146.4045	1.1055	0
143.64	1.926	0
140.1345	2.931	0
135.9225	4.086	0
131.0355	5.3565	0
125.535	6.696	0
119.4705	8.067	0
112.908	9.4245	0
105.912	10.7295	0
98.565	11.9415	0
90.9405	13.026	0
83.1195	13.953	0
75.198	14.694	0
67.26	15.228	0
59.385	15.54	0
51.5505	15.528	0
43.9725	15.129	0
36.753	14.376	0
29.982	13.311	0
23.745	11.988	0
18.12	10.473	0
13.17	8.8335	0
8.952	7.143	0
5.5155	5.469	0
2.88	3.8715	0
1.08	2.4045	0
0.12	1.1055	0
0	0	0
0.7005	-0.8595	0
2.2005	-1.434	0
4.4595	-1.7355	0
7.455	-1.788	0
11.142	-1.62	0
15.4755	-1.266	0
20.4105	-0.7695	0
25.8855	-0.1785	0
31.8525	0.4605	0
38.247	1.0935	0
45.018	1.668	0
52.095	2.1375	0
59.427	2.4585	0
67.0605	2.658	0
74.802	2.8065	0
82.56	2.8875	0
90.2505	2.8935	0
97.7895	2.82	0
105.0975	2.67	0
112.092	2.451	0
118.695	2.1765	0
124.8345	1.8615	0
130.4355	1.5255	0
135.432	1.1865	0
139.77	0.864	0
143.3895	0.5745	0
146.2545	0.3315	0
148.3245	0.1515	0
149.583	0.0375	0
150	0	0
